,회사명,KCGS_종합등급,KCGS_환경,KCGS_사회,KCGS_지배구조,한국ESG연구소,Moody's,MSCI,S&P,연도
0,AJ네트웍스,B,D,B,B,-,-,-,-,2020
1,AJ네트웍스,B,D,B,B,-,-,-,-,2021
2,AJ네트웍스,B+,C,B+,B+,-,-,-,-,2022
3,AJ네트웍스,B+,C,B+,B+,-,-,-,-,2023
4,AK홀딩스,B+,C,B+,B+,-,-,-,-,2020
5,AK홀딩스,B+,B,B+,B+,-,-,-,1,2021
6,AK홀딩스,B+,B,A,B,-,-,-,4,2022
7,AK홀딩스,B+,B,A,B,-,-,-,4,2023
8,BGF,B+,B,A,B+,-,-,-,-,2020
9,BGF,A,A,A+,A,-,-,-,13,2021
10,BGF,B+,A,A+,B,-,-,-,18,2022
11,BGF,B+,A,A+,B,-,-,-,18,2023
12,BGF리테일,A,B+,B+,A,-,-,BB,-,2020
13,BGF리테일,A,A,A+,A,S,-,BBB,11,2021
14,BGF리테일,A,A,A+,A,A,23,BBB,58,2022
15,BGF리테일,A,A,A+,A,A,23,BBB,58,2023
16,BNK금융지주,A+,B+,A+,A+,-,-,A,-,2020
17,BNK금융지주,A+,A,A+,A+,A,-,A,38,2021
18,BNK금융지주,A,A,A,A,A,37,A,43,2022
19,BNK금융지주,A,A,A,A,A,37,A,43,2023
20,BYC,B,D,B,B+,-,-,-,-,2020
21,BYC,B,D,B,B+,-,-,-,-,2021
22,BYC,D,D,D,D,-,-,-,-,2022
23,BYC,D,D,D,D,-,-,-,-,2023
24,CJ,A,B,A,A,-,-,BBB,-,2020
25,CJ,A,B+,A+,A,A,-,BBB,16,2021
26,CJ,B+,B+,A,B+,A,14,A,29,2022
27,CJ,B+,B+,A,B+,A,47,A,29,2023
28,CJ CGV,A,B,A,A,-,-,-,-,2020
29,CJ CGV,A,B,A,A,B+,-,-,12,2021
30,CJ CGV,B+,B,B+,B+,B+,-,-,10,2022
31,CJ CGV,B+,B,B+,B+,B+,-,-,10,2023
32,CJ대한통운,A,A,B,A,-,-,B,-,2020
33,CJ대한통운,A,A,A+,A,A,-,BBB,62,2021
34,CJ대한통운,B+,B+,A+,B,B+,39,BBB,62,2022
35,CJ대한통운,B+,B+,A+,B,B+,39,BBB,62,2023
36,CJ씨푸드,B,C,B+,B+,-,-,-,-,2020
37,CJ씨푸드,B,C,B+,B+,-,-,-,-,2021
38,CJ씨푸드,B,C,B,B,-,-,-,-,2022
39,CJ씨푸드,B,C,B,B,-,-,-,-,2023
40,CJ제일제당,A,A,A+,A,-,-,A,-,2020
41,CJ제일제당,A,A,A+,A,S,-,A,78,2021
42,CJ제일제당,A,A,A,B+,S,36,AA,80,2022
43,CJ제일제당,A,A,A,B+,A+,36,AA,80,2023
44,CS홀딩스,C,D,C,B,-,-,-,-,2020
45,CS홀딩스,B,D,C,B+,-,-,-,-,2021
46,CS홀딩스,C,D,D,B,-,-,-,-,2022
47,CS홀딩스,C,D,D,B,-,-,-,-,2023
48,DB,B,D,B,B,-,-,-,-,2020
49,DB,B,D,B+,B+,-,-,-,-,2021
50,DB,B,D,B,B+,-,-,-,-,2022
51,DB,B,D,B,B+,-,-,-,-,2023
52,DB금융투자,B,D,A,B,-,-,-,-,2020
53,DB금융투자,B,D,B+,B,-,-,-,-,2021
54,DB금융투자,B,C,B,B,-,-,-,4,2022
55,DB금융투자,B,C,B,B,-,-,-,4,2023
56,DB손해보험,B+,A,A,B+,-,-,BBB,-,2020
57,DB손해보험,A,A,A+,B+,A,-,BBB,57,2021
58,DB손해보험,B+,B+,A,B+,B+,33,A,50,2022
59,DB손해보험,B+,B+,A,B+,B+,33,A,50,2023
60,DB하이텍,B+,B+,A,B+,-,-,-,-,2020
61,DB하이텍,A,A,A,A,A,-,-,17,2021
62,DB하이텍,B,B,B+,B,A,-,-,20,2022
63,DB하이텍,B,B,B+,B,A,-,-,20,2023
64,DGB금융지주,A+,A,A+,A+,-,-,-,-,2020
65,DGB금융지주,A+,A,A+,A+,-,-,-,67,2021
66,DGB금융지주,A,A+,A+,A,-,31,-,70,2022
67,DGB금융지주,A,A+,A+,A,-,31,-,70,2023
68,DL,B+,A,B+,B+,-,-,B,-,2020
69,DL,A,A+,A+,B+,B+,-,B,24,2021
70,DL,A,A,A+,A,B+,20,B,37,2022
71,DL,A,A,A+,A,B+,20,B,37,2023
